epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,1.251745343208313,
0,99,,1.1394981145858765,
0,149,,1.1119555234909058,
0,199,,0.08850021660327911,
0,249,,0.07365916669368744,
0,299,,0.06360232830047607,
0,349,,0.055534545332193375,
0,399,,0.06392642110586166,
0,449,,0.04251199588179588,
0,499,,0.036288537085056305,
0,549,,0.033613838255405426,
0,599,,1.0267447233200073,
0,649,,1.0275968313217163,
0,699,,0.0244776401668787,
0,749,,0.020964356139302254,
0,799,,0.9507626295089722,
0,849,,0.022878918796777725,
0,899,,0.019254174083471298,
0,949,,0.923398494720459,
0,999,,0.035472169518470764,
0,1049,,0.009178360924124718,
0,1099,,0.014696100726723671,
0,1149,,0.010351870208978653,
0,1199,,0.014391875825822353,
0,1249,,0.009339298121631145,
0,1299,,0.011666867882013321,
0,1349,,0.9710731506347656,
0,1399,,0.011536368168890476,
0,1449,,0.017531199380755424,
0,1499,,0.004670770838856697,
0,1549,,0.9525657296180725,
0,1599,,0.9482489824295044,
0,1649,,0.014105509966611862,
0,1699,,0.009694667533040047,
0,1749,,0.01664326898753643,
0,1799,,0.015802722424268723,
0,1849,,1.238166093826294,
0,1899,,0.005728015676140785,
0,1949,,0.9925024509429932,
0,1999,,0.6013509631156921,
0,2049,,0.013198520988225937,
0,2099,,0.010349024087190628,
0,2149,,0.008491799235343933,
0,2199,,0.018001019954681396,
0,2249,,0.002320338739082217,
0,2299,,0.002776574110612273,
0,2349,,0.7239144444465637,
0,2399,,0.005520424339920282,
0,2449,,0.007152452599257231,
0,2499,,0.002185489283874631,
0,2549,,0.7520615458488464,
0,2599,,0.007925908081233501,
0,2649,,0.38370516896247864,
0,2699,,0.003089399542659521,
0,2749,,0.004266322124749422,
0,2799,,0.0007344868499785662,
0,2849,,0.0010104653192684054,
0,2899,,0.016249921172857285,
0,2949,,0.20392830669879913,
0,2999,,0.024819277226924896,
0,3049,,0.020151130855083466,
0,3099,,0.008666249923408031,
0,3149,,0.38912972807884216,
0,3199,,0.010306872427463531,
0,3249,,0.44675493240356445,
0,3299,,0.6716036796569824,
0,3349,,0.015798401087522507,
0,3399,,0.9200814962387085,
0,3449,,0.013192783109843731,
0,3499,,0.004073526710271835,
0,3549,,0.0031332634389400482,
0,3599,,0.010262873023748398,
0,3649,,0.004797755740582943,
0,3699,,0.009878338314592838,
0,3749,,0.0008116235258057714,
0,3799,,0.3005669414997101,
0,3849,,0.00018067059863824397,
0,3899,,0.014864388853311539,
0,3949,,0.0019098895136266947,
0,3999,,1.0106861591339111,
0,4049,,0.00019265997980255634,
0,4099,,0.005044970661401749,
0,4149,,0.014763392508029938,
0,4199,,0.0045189689844846725,
0,4249,,0.318067729473114,
0,4299,,0.0011077540693804622,
0,4349,,0.005631156265735626,
0,4399,,0.0012001367285847664,
0,4449,,0.9592580795288086,
0,4499,,0.00014676604769192636,
0,4549,,0.0028324737213552,
0,4599,,0.008550887927412987,
0,4649,,0.24626876413822174,
0,4699,,0.01358480378985405,
0,4749,,0.9538497924804688,
0,4799,,0.5431708693504333,
0,4849,,0.004897612147033215,
0,4899,,0.5553967356681824,
0,4949,,0.7622947096824646,
0,4999,,0.7950050830841064,
0,5049,,0.0013427006779238582,
0,5099,,0.33468788862228394,
0,5149,,0.002292664023116231,
0,5199,,0.010163998231291771,
0,5249,,0.00043998254113830626,
0,5299,,0.00917462445795536,
0,5349,,0.009804804809391499,
0,5399,,0.786373496055603,
0,5449,,0.0024536934215575457,
0,5499,,0.008841583505272865,
0,5549,,0.24094454944133759,
0,5599,,0.0009147635428234935,
0,5649,,0.8288732171058655,
0,5699,,0.784271240234375,
0,5749,,0.005398579873144627,
